,volume
0,12
1,12
2,15
3,19
4,21
5,21
6,21
7,21
8,21
9,21
10,21
11,21
12,21
13,21
14,21
15,21
16,21
17,21
18,21
19,21
20,21
21,21
22,21
23,21
24,21
25,21
26,21
27,21
28,21
29,21
30,21
31,26
32,27
33,30
34,30
35,30
36,33
37,36
38,38
39,38
40,38
41,38
42,38
43,38
44,38
45,38
46,38
47,38
48,38
49,38
50,38
51,38
52,38
53,38
54,38
55,38
56,38
57,38
58,38
59,38
60,38
61,38
62,38
63,38
64,38
65,38
66,38
67,38
68,38
69,38
70,38
71,38
72,38
73,38
74,38
75,38
76,38
77,38
78,38
79,38
80,38
81,38
82,38
83,38
84,38
85,38
86,38
87,41
88,45
89,46
90,47
91,47
92,47
93,47
94,51
95,52
96,57
97,60
98,65
99,65
100,65
101,65
102,65
103,65
104,65
105,65
106,65
107,65
108,65
109,69
110,72
111,76
112,80
113,85
114,85
115,85
116,85
117,85
118,85
119,85
120,85
121,85
122,85
123,85
124,85
125,85
126,85
127,85
128,85
129,85
130,85
131,85
132,85
133,87
134,92
135,93
136,93
137,93
138,93
139,93
140,93
141,94
142,95
143,97
144,100
