,volume
0,16
1,16
2,16
3,16
4,16
5,16
6,16
7,16
8,16
9,16
10,16
11,16
12,16
13,16
14,16
15,16
16,16
17,16
18,16
19,16
20,16
21,16
22,16
23,16
24,16
25,16
26,16
27,16
28,16
29,16
30,16
31,16
32,16
33,16
34,16
35,16
36,16
37,16
38,16
39,16
40,16
41,16
42,16
43,16
44,16
45,16
46,16
47,16
48,16
49,16
50,16
51,16
52,16
53,16
54,16
55,16
56,16
57,16
58,16
59,16
60,16
61,16
62,16
63,16
64,16
65,16
66,16
67,16
68,16
69,16
70,16
71,16
72,16
73,16
74,16
75,16
76,16
77,16
78,16
79,16
80,16
81,18
82,21
83,22
84,22
85,22
86,22
87,22
88,22
89,22
90,22
91,22
92,22
93,22
94,22
95,22
96,22
97,22
98,23
99,28
100,29
101,31
102,35
103,35
104,35
105,35
106,35
107,35
108,35
109,35
110,35
111,35
112,35
113,35
114,35
115,35
116,35
117,35
118,35
119,35
120,35
121,35
122,35
123,35
124,35
125,35
126,35
127,35
128,35
129,35
130,35
131,35
132,35
133,35
134,35
135,35
136,35
137,35
138,35
139,35
140,35
141,35
142,35
143,35
144,35
145,35
146,35
147,35
148,35
149,35
150,35
151,35
152,35
153,35
154,35
155,35
156,35
157,35
158,35
159,35
160,35
161,35
162,35
163,35
164,35
165,35
166,35
167,35
168,35
169,35
170,35
171,35
172,35
173,35
174,35
175,35
176,35
177,35
178,35
179,35
180,35
181,35
182,39
183,42
184,44
185,44
186,44
187,44
188,44
189,44
190,44
191,44
192,44
193,44
194,44
195,44
196,49
197,52
198,56
199,60
200,60
201,60
202,60
203,63
204,64
205,68
206,69
207,74
208,74
209,74
210,74
211,74
212,74
213,74
214,77
215,81
216,82
217,85
218,85
219,85
220,85
221,85
222,85
223,89
224,91
225,93
226,96
227,96
228,96
229,96
230,96
231,96
232,96
233,96
234,99
